DW_CLIENTES;DW_LOCALIDADE;DW_TEMPO;vl_total
62a64d8717556f82bf2aaf0412981e047705b0a40ac64c59202a847e31a4c20a;cc3a1a757a4162335a74c374ed25bafb959097f16601c28809da6db1263de194;6aadf4b05bab6887a13b8d89bf9a6f74cd6cff02b183177c652bfd80a1371959;2748.0
8d55e41f6c2b847acb14a626d7543a0faa080b32eeffaf383d40f05dfd0cdb5a;1e2541bb8bea4143f0e2e9f64eefac0d7587c1aaef3a5511f3bd7784f648ad3f;35f73a2c64d8f3deab1c923d89fa6bf13a7f96fd9559aefa82439e64b80fc18b;""
b279e3d987f0f08ab4318c3b6a265448297074c881d94ffc7f7aca5c09259d2f;e7674dfba6602cc6442fb739ed71cf285d430fec27e875f3cbf20f3ba69f7f76;6f948ffaa9c8d87cf5c9e9d2307a28e84442f5db1f07ec1119e84850d616fa4a;""
27b53631e5f1b71ae5f707be4e5ceaff92de37e9214bc1785c1dc423fbf16a3d;129d6608a71b8340735a8a82f119e4507b23f85b4553ed6a042c4a6afb822d00;d1e060f92d5b7fcf2e9b0480e7dc96dc514aa3c80159563638eab80b19862642;""
86985cec8adae67dda8010a2deb8ac8e65fcb679a399209cdcb3da01fb07a182;3061d4c53b7cb2b5f330bd34d9864cf7f889309867633daa4592888a4ae8bdea;7fd14c0eb0f9bdc112f986cbaaad763831695c5160d58e56bdce4c6649a6869a;""
a01c36d210e5c655e4c3b29441be4ceb33aa0eb4e80908218c2da07f9486c7bb;4d11c32baac5fb3bda01b159cf032aee79c581ea8036b0b2d83938b7f0b7b60e;329ff3161224223b55bf76407af3e6de0003deb9164dd7ae125f24cb84e89edc;""
dc6f9d9e440237228286cf2b3421d739742f68733d423717b9d944e0d49f70ef;2930d7d0fa81509a580740426271d21de2e6dc576956e3f0735c8e70531b4f27;7d0ff60c6509c10aeaae74dde6cc90a3b240fee580b1d84dbdc1ed1f06ca5d78;""
c775e06fcd4bd0165216b101473db00963db6643c91c94fc43e92755560b7be3;6e93198437d71e70782129f9f765507585676451d716a0b5c637cbc46d129f4e;6ccc883ed9e1970e25dc20232e499047fd6ebb7b3439fde96126336e2f393d67;""
c775e06fcd4bd0165216b101473db00963db6643c91c94fc43e92755560b7be3;6e93198437d71e70782129f9f765507585676451d716a0b5c637cbc46d129f4e;ae516b6d407a5419e49a9e1be14db96a741d1474bca5d93bae8d8c25e71c0899;238.0
56697bd1828c35edb1687fecaf1b6b47151490f5a554b0d086bb5687ffa047cd;86c38257b7bef0b69bcd24b779e619b265e8fcb4bfb461d467cca9a77c0a8f1c;3d3ebdf42fb287d20ac2d072d3b20fe53188aafcbda4a4a2ba236cb4a1290f09;""
